Date,acci
05-Jan,15494
05-Feb,13244
05-Mar,16580
05-Apr,17817
05-May,19085
05-Jun,18092
05-Jul,18675
05-Aug,19035
05-Sep,18759
05-Oct,19757
05-Nov,19129
05-Dec,18504
06-Jan,14971
06-Feb,14270
06-Mar,16767
06-Apr,17948
06-May,19140
06-Jun,17435
06-Jul,18634
06-Aug,18794
06-Sep,19293
06-Oct,19100
06-Nov,19877
06-Dec,17516
07-Jan,14914
07-Feb,14696
07-Mar,18166
07-Apr,18055
07-May,19264
07-Jun,18310
07-Jul,18037
07-Aug,17982
07-Sep,18506
07-Oct,19026
07-Nov,17815
07-Dec,16891
08-Jan,14741
08-Feb,14176
08-Mar,16752
08-Apr,17498
08-May,19515
08-Jun,18824
08-Jul,19562
08-Aug,18545
08-Sep,18023
08-Oct,19926
08-Nov,19597
08-Dec,18663
09-Jan,16532
09-Feb,15502
09-Mar,18224
09-Apr,19153
09-May,20237
09-Jun,19249
09-Jul,20281
09-Aug,19993
09-Sep,21004
09-Oct,21440
09-Nov,20156
09-Dec,20219
10-Jan,17124
10-Feb,15803
10-Mar,17801
10-Apr,18386
10-May,20372
10-Jun,18910
10-Jul,18965
10-Aug,19383
10-Sep,19439
10-Oct,21575
10-Nov,20271
10-Dec,18849
